"key","en","de",
"starterkitareas.area.hero-slick-slider.checkboxHideDots","Hide Dots","Dots ausblenden"
"starterkitareas.area.hero-slick-slider.selectOverlayType","select overlay","Overlay auswählen"

"starterkitareas.area.columns.name", "Columns", "Columns"
"starterkitareas.area.columns.description", "Columns layout in horizontal divisions to place content", "Spalten Layout in horizontaler Unterteilung um Inhalt zu platzieren"
"starterkitareas.area.columns.selectColumnsType", "Select number of columns", "Spaltenanzahl auswählen"
"starterkitareas.area.columns.inputId", "Column-Id: input + consecutively numbered", "Column-Id, wird fortlaufend nummeriert"
"starterkitareas.area.columns.checkboxDispalyIdEditmode", "Show column ID in edit mode","Column-Id im Editmode anzeigen"
"starterkitareas.area.columns.inputId.description", "Column Id","Column Id"

"starterkitareas.area.card.name", "Card", "Card"
"starterkitareas.area.card.description", "Title, Text, Link: Editable or as Data-Object", "Titel, Text, Link: Editierbar oder als Daten-Objekt"
"starterkitareas.area.card.title", "Title", "Titel"
"starterkitareas.area.card.content", "Content", "Inhalt"
"starterkitareas.area.card.selectCardType", "Select Card Type", "Kartentyp auswählen"
"starterkitareas.area.card.selectCardClass", "Select Card Class", "Klasse auswählen"
"starterkitareas.area.card.selectHeaderOrder", "Select Header Order", "Reihenfolge Kopfzeile auswählen"
"starterkitareas.area.card.checkboxDisableImage", "Disable Image", "Bild ausblenden"
"starterkitareas.area.card.checkboxDisableHeader", "Disable Header", "Kopfzeile ausblenden"
"starterkitareas.area.card.checkboxDisableFooter", "Disable Footer", "Fusszeile ausblenden"

"starterkitareas.area.cards.name" , "Cards", "Cards"
"starterkitareas.area.cards.description", "Cards layout", "Karten Layout"
"starterkitareas.area.cards.selectCardType", "Select Card Type", "Kartentyp auswählen"
"starterkitareas.area.cards.selectCardsCols", "Select Columns", "Spaltenanzahl auswählen"
"starterkitareas.area.cards.selectHeaderOrder", "Select Header Order", "Reihenfolge Kopfzeile auswählen"
"starterkitareas.area.cards.checkboxDisableImage", "Disable Image", "Bild ausblenden"
"starterkitareas.area.cards.checkboxDisableHeader", "Disable Header", "Kopfzeile ausblenden"
"starterkitareas.area.cards.checkboxDisableFooter", "Disable Footer", "Fusszeile ausblenden"

"starterkitareas.area.iframe.name", "Iframe", "Iframe"
"starterkitareas.area.iframe.description", "The Inline Frame element", "Das Inline-Frame-Element"
"starterkitareas.area.iframe.inputName", "Iframe Name, title & ID", "Iframe Name, Titel & ID"$
"starterkitareas.area.iframe.checkboxAllowfullscreen", "Allowfullscreen", "Allowfullscreen"
"starterkitareas.area.iframe.textareaSrc", "Iframe Src", "Iframe Src"
"starterkitareas.area.iframe.selectReferrerpolicy", "Referrerpolicy", "Referrerpolicy"
"starterkitareas.area.iframe.selectSandbox", "Sandbox", "Sandbox"

"starterkitareas.area.tiles.name", "Tiles", "Tiles"
"starterkitareas.area.tiles.description","Tiles Grid", "Kachelnraster"
"starterkitareas.area.tiles.selectTileType", "Select Tiles Type", "Kacheln Typ wählen"
"starterkitareas.area.tiles.editmode.description", "Please drop data object folder into Edit->Relation Field", "Bitte legen Sie den Faten.Objekt Ordner in Bearbeiten->Beziehungsfeld ab."
"starterkitareas.area.tiles.relationTiles", "Relation Field","Beziehungsfeld"

"starterkitareas.area.hero-bs-slider.name", "Bootstrap Carousel","Bootstrap Carousel"
"starterkitareas.area.hero-bs-slider.description", "Data Objects Slides", "Daten Objekte Slides"
"starterkitareas.area.hero-bs-slider.selectSliderType" "select Slide Type", "Slidertyp auswählen"
"starterkitareas.area.hero-bs-slider.selectSliderType","select overlay","Overlay auswählen"
"starterkitareas.area.hero-bs-slider.relationObjectSliderFolder","Drop Data Objects Folder here:", "Daten Objekte Ordner mit den Slider Objekten hier ablegen:"
"starterkitareas.area.hero-bs-slider.checkboxHideArrows","Hide Arrows","Pfeile ausblenden"
"starterkitareas.area.hero-bs-slider.checkboxHideDots","Hide Dots","Dots ausblenden"
